id;report_date;fatal;category;age;gender;time_in_sport;time_in_sport_orig;total_number_of_jumps;skydives_in_12_months;cause_of_death;system;main;wingload;reserve;aad;aad_installed;helmet;rsl;rsl_active_known;wingsuit;description;conclusion;experience_level;jump_happened;physical_harm;human_error;jump_type;aad_save;aad_fail;aad_unintentional;rsl_neg;weather_impact;reserve_used;swoop;number_of_skydivers;reserve_problem;ai_done
1;2024-03-01;No;Safety Concern;72.0;Male;0.0027397260273972;1 day(s);1.0;1.0;;;;;;;No;;not known if installed   not known if connected;No;;During a First Jump Course (FJC) session, a student was practicing the practical Parachute Landing Fall (PLF) technique on padded carpet within the hangar. The student encountered difficulty executing an efficient PLF, with no elevated platform for practice, starting directly from the floor. The following morning, the student reported checking into the Emergency Room, citing chest/rib pain. Subsequent X-rays revealed no broken ribs but indicated some bruising.;The student, having undergone a tandem skydive with us within the last 90 days, had been previously diagnosed with terminal cancer, a fact revealed post-incident. The combination of advanced age and potential health deterioration from cancer and/or its treatment likely influenced the incident. Despite the student's readiness to perform his first Instructor-Assisted Deployment (IAD) jump, the decision was made not to proceed due to anticipated risks, including potential weather conditions and physical challenges during landing and aircraft exit. Considering the student's recent chest injury from practicing PLFs and discussions among instructors regarding risk assessment, it was deemed too hazardous to permit the jump. The decision prioritized the student's safety and aimed to mitigate the high likelihood of potential injury or medical emergencies.;0.0274755399852185;No;Yes;Yes;student;No;No;No;No;No;No;No;;No;done
2;2024-03-01;No;Hard Opening;35.0;Male;14.0;14 year(s);21.0;18.0;;Mirage Systems Student;Student 210;1.05;;;No;Cheap student helmet;installed   connected;Yes;;A skydiver experienced a hard open, resulting in injuries to the jumper's neck, upper legs, lower back, and left side. Additionally, the participant experienced a headache.;Given the limited details provided regarding the incident, it is challenging to draw conclusive remarks or assessments. The report lacks sufficient information to comprehensively understand the circumstances surrounding the hard open and resulting injuries. Further investigation and additional data are necessary to ascertain the underlying causes and contributing factors to the incident.;5.44773484247098;Yes;Yes;No;student;No;No;No;No;No;No;No;;No;done
3;2024-03-01;No;Landing Problem (No Turn);;Male;0.25;3 month(s);16.0;5.0;;Relative Workshop;Performance Designs Navigator 220;0.8;Performance Designs;Vigil Vigil2;Yes;Cookie;installed   connected;Yes;;A student was navigating their landing pattern when they applied excessive right toggle input in proximity to the ground, leading to an uncontrolled descent. To mitigate the impact, the student instinctively used his arm to break the fall, resulting in a wrist fracture. Notably, the student was under radio supervision at the time of the incident.;The conclusion highlights the critical error wherein the student, advised to execute a minor right correction to ensure a safe landing area, applied an exaggerated right toggle input. Consequently, the student failed to maintain a level wing for landing. Upon landing, the student attempted to mitigate the impact with his arm, resulting in a wrist fracture. This incident underscores the importance of precise control inputs and adherence to instruction to mitigate risks during skydiving descents.;0.2464591057977667;Yes;Yes;Yes;student;No;No;No;No;No;No;No;;No;done
4;2024-03-01;No;Landing Problem (No Turn);60.0;Male;;;4000.0;125.0;;Strong Enterprises TNT;NZ Aerosports TX2;;Strong Enterprises Patronus 360;Advanced Aerospace Designs Cuatro;Yes;;installed   connected;Yes;;Following a standard exit and free fall, canopy deployment occurred at 5500 feet, leading to a fully inflated canopy at 4500 feet. Controllability checks were satisfactory, and a normal landing pattern was initiated. However, upon nearing ground contact, despite repeated instructions to keep his feet raised, the student, who was taller than the TI, lowered his feet causing an unanticipated contact. The resulting forward fall caused the instructor's right foot to roll and twist upon ground impact. Fortunately, the passenger remained uninjured.;The incident analysis reveals that the taller student, failing to maintain feet raised during landing as instructed, made initial ground contact with his feet. This led to the tandem instructor (TI) also making contact with the ground, resulting in a twist and roll of the right ankle. The conclusion emphasizes the importance of precise adherence to landing instructions, particularly for taller students, to enhance safety during tandem skydiving landings.;;Yes;Yes;Yes;tandem;No;No;No;No;No;No;No;2.0;No;done
5;2024-03-01;No;Equipment Problem;40.0;Female;3.0;3 year(s);98.0;;;Rigging Innovations Curv;Performance Designs Sabre 2 190;;;;No;Cookie G3;installed   connected;Yes;;The jumper encountered the excess brake line had knotted around the toggle keeper, failing to resolve it before descending below her hard deck. Attempting rear-flare maneuvers as a precaution, she aimed for landing but faced an imminent collision with a barbed wire fence. Swiftly, she disengaged the canopy's toggle lock, mitigating the impact angle. Nearby jumpers administered immediate assistance until onsite medical personnel intervened. Following treatment for lacerations and punctures, she was transported to the nearest hospital for further care, where a diagnosis revealed a hairline fracture in her left leg.;Upon reflection, the jumper acknowledged her limited canopy training beyond her A license. Despite recognizing the need for a cutaway after the initial failure to clear the toggle lock, she struggled to recall her decision-making process in the moment. The incident underscores the importance of decisive action and adherence to safety protocols, especially in challenging scenarios. The possibility of brake line entanglement during the packing process warrants heightened vigilance and thorough checks to prevent such occurrences in the future.;;Yes;Yes;Yes;licensed;No;No;No;No;No;No;No;;No;done
6;2024-03-01;No;Landing Problem (No Turn);23.0;Female;1.0;1 year(s);20.0;14.0;;Velocity Sports Infinity;Performance Designs Navigator 220;0.75;Performance Designs PR-218 218;Advanced Aerospace Designs Vigil2;Yes;;installed   not known if connected;No;;Incident Report: During a routine jump, the student executed timely deployment and followed a predictable landing pattern. However, upon nearing the ground, the student applied brakes excessively high, then released them too close to the ground, initiating a flight cycle. Despite a proper flare attempt, the canopy remained in flight mode, resulting in a hard landing and foot injury. Witnesses noted the mismanagement of brake input and insufficient flare effectiveness. This incident underscores the criticality of precise canopy control and reinforces the necessity of continuous training to mitigate risks during landings.;Upon analysis, the student's inadvertent braking when observing the taxiway during final approach led to a premature descent. Recognizing the height miscalculation, she released the brakes hastily, inducing a flight cycle. Insufficient time remained for the canopy to stabilize, hindering an effective flare during landing. This incident underscores the importance of maintaining focus on the landing area and executing maneuvers with precision to prevent abrupt canopy responses, ensuring safer landings.;0.7611837537545775;Yes;Yes;Yes;student;No;No;No;No;No;No;No;1.0;No;done
7;2024-03-01;No;Landing Problem (No Turn);19.0;Male;;day(s);1.0;;;Mirage Systems Student;Performance Designs Navigator 220;0.73;Performance Designs PDR;Airtec Cypres;Yes;Protec;installed   connected;Yes;;During an AFF Cat A student jump, the free fall and canopy opening were uneventful. However, the student exhibited sluggish responsiveness to radio commands throughout the descent. On final approach, the student-initiated stage one of the flare at approximately 50 feet, paused briefly, then resumed stage one at about 30 feet. Despite instructions to hold stage one and complete the flare at the proper altitude, the student failed to respond appropriately. Consequently, the student landed with approximately 1/2 brakes and failed to execute a Parachute Landing Fall (PLF). Subsequently, the student sustained a right ankle injury, with uncertainty regarding whether it is a sprain or fracture. Although the student declined ambulance assistance, they were advised to seek medical evaluation. Notably, the student mentioned that it was not the first time they had injured the same ankle. Further assessment of the incident and the student's condition is ongoing to determine contributing factors and mitigate risks for future jumps.;The AFF Cat A student jump concluded with the student exhibiting sluggish responsiveness to radio commands and a failure to execute proper landing procedures. Despite instructions to hold the flare and complete it at the appropriate altitude, the student landed with only partial brakes and failed to perform a Parachute Landing Fall (PLF). Consequently, the student sustained a right ankle injury, the severity of which is yet to be determined. It is concerning that the student reported a history of previous ankle injuries. This incident highlights the importance of swift and accurate response to instructions during descent, as well as the necessity of adhering to proper landing techniques to mitigate the risk of injury during skydiving activities.;;Yes;Yes;Yes;student;No;No;No;No;No;No;No;1.0;No;done
8;2024-03-01;No;Landing Problem (No Turn);39.0;Male;;;1800.0;;;Velocity Sports Infinity;Performance Designs Valkyrie 90;2.22;;;No;;installed   connected;Yes;;"During his third jump at a new Drop Zone (DZ), the Jumper, having completed two video jumps earlier in the morning, embarked on a fun jump. Afternoon winds, having intensified and shifted since the morning, presented altered landing conditions. Following the designated pattern within the high-performance lane, the Jumper executed a 180-degree turn to land downwind. Despite successfully executing the maneuver, he overshot the landing area, sliding in the grass beyond the designated boundary and colliding with significant force against an event tent stake measuring 1"" in diameter. The impact resulted in the stake bending several inches. Prompt medical staff on-site responded immediately, with the Jumper subsequently airlifted out due to concerns of internal injuries. Diagnosis revealed six broken ribs and a tear in his right kidney. Presently, he remains hospitalized for potential infection complications, anticipating a six-week recovery period.";Despite receiving good-natured ribbing for landing too far out on his initial jumps, the Jumper decided to bring his landing closer to the beer line on his third jump. While his setup may have been appropriate given the morning winds, the subsequent shift in wind speed and direction necessitated a larger margin of distance from the target. The incident underscores the importance of adapting to changing environmental conditions and maintaining a conservative approach to landing, prioritizing safety over proximity to designated landmarks.;;Yes;Yes;Yes;licensed;No;No;No;No;Yes;No;No;1.0;No;done
9;2024-03-01;No;Landing Problem (No Turn);53.0;Male;0.0054794520547945;2 day(s);1.0;;;;260;1.06;;;No;;not known if installed   not known if connected;No;;Following an uneventful Category A jump, the jumper broke his ankle on landing.;Despite being on radio, the Jumper's failure to raise his hands fully resulted in effectively operating at half brakes until completing the stage 2 flare at an appropriate altitude. Regrettably, during the landing attempt, the Jumper deviated from proper procedure by reaching for the ground with one foot instead of executing a Parachute Landing Fall (PLF). This deviation likely contributed to the outcome of the landing. Emphasis on adherence to proper landing techniques and effective communication between the Jumper and the radio operator is paramount to mitigate similar incidents in the future.;;Yes;Yes;Yes;student;No;No;No;No;No;No;No;1.0;No;done
10;2024-03-01;No;Equipment Problem;40.0;Male;2.0;2 year(s);202.0;130.0;;Velocity Sports Infinity;Performance Designs Sabre 2 190;1.03;Icarus 169;Airtec Cypres C-mode;Yes;Tonfly full-face;installed   connected;Yes;;Following an uneventful RW skydive, the Jumper encountered an unusually hard opening subsequent to routine deployment of the main canopy at approximately 4,500 feet. Upon attempting to unstow their brakes, the Jumper discovered one toggle missing, resulting in the canopy spiraling towards the still-towed toggle. Despite efforts to counteract the turn using rear risers, the Jumper was unable to halt the spin. Between altitudes of 3,000 to 4,000 feet, emergency procedures were successfully initiated, leading to an uneventful landing on the airport under the reserve canopy. The Jumper reported experiencing rib pain but opted against seeking medical attention. The main canopy and free bag were lost in a forest and remained unrecovered.;The Jumper, known for meticulous packing practices, did not report any deviations from standard pack procedures preceding the incident. Moreover, no unusual attitudes or maneuvers were noted that could have elevated freefall speeds prior to canopy deployment. Despite thorough examination, there lacks a clear correlation between any specific factors and the occurrence of the incident.;4.386518200337028;Yes;Yes;No;licensed;No;No;No;No;No;Yes;No;;No;done
